table_schema,table_name,column_name,is_nullable,data_type,udt_name,column_default,is_identity
public,users,email,NO,text,text,,NO
public,users,avatar_url,YES,text,text,,NO
public,users,bio,YES,text,text,,NO
public,users,timezone,YES,text,text,'Asia/Tokyo'::text,NO
public,users,language,YES,text,text,'ja'::text,NO
public,users,work_hours_start,YES,text,text,,NO
public,users,work_hours_end,YES,text,text,,NO
public,notifications,last_error,YES,text,text,,NO
public,tasks,wbs_code,YES,text,text,,NO
public,project_members,role,NO,text,text,,NO
public,tasks,task_name,NO,text,text,,NO
public,tasks,description,YES,text,text,,NO
public,alert_rules,rule_type,NO,text,text,,NO
public,boards,name,NO,text,text,,NO
public,tasks,status,NO,text,text,'NOT_STARTED'::text,NO
public,tasks,priority,NO,text,text,'MEDIUM'::text,NO
public,projects,name,NO,text,text,,NO
public,projects,description,YES,text,text,,NO
public,task_members,role,NO,text,text,'CONTRIBUTOR'::text,NO
public,notifications,to_email,NO,text,text,,NO
public,notifications,subject,NO,text,text,,NO
public,notifications,body_text,NO,text,text,,NO
public,alert_rules,name,NO,text,text,,NO
public,information_schema_columns,column_name,YES,name,name,,NO
public,information_schema_columns,is_nullable,YES,character varying,varchar,,NO
public,information_schema_columns,data_type,YES,character varying,varchar,,NO
public,information_schema_columns,udt_name,YES,name,name,,NO
public,information_schema_columns,is_identity,YES,character varying,varchar,,NO
public,information_schema_columns,table_schema,YES,name,name,,NO
public,information_schema_columns,table_name,YES,name,name,,NO
public,information_schema_columns,column_default,YES,character varying,varchar,,NO
